0 ('/explore.py', 'module_initializer', 'zfuse')
775 ('/zfs/util.py', 'fletcher4', 'b')
776 ('/zfs/util.py', 'fletcher4', 'c')
777 ('/zfs/util.py', 'fletcher4', 'd')
778 ('/zfs/util.py', 'fletcher4', 'w')
779 ('/zfs/util.py', 'fletcher4', 'fletcher4_ret')
780 ('/zfs/util.py', 'fletcher2', 'data')
781 ('/zfs/util.py', 'fletcher2', 'mod')
782 ('/zfs/util.py', 'fletcher2', 'un_data')
783 ('/zfs/util.py', 'fletcher2', 'a')
784 ('/zfs/util.py', 'fletcher2', 'b')
785 ('/zfs/util.py', 'fletcher2', 'c')
786 ('/zfs/util.py', 'fletcher2', 'd')
787 ('/zfs/util.py', 'fletcher2', 'first')
788 ('/zfs/util.py', 'fletcher2', 'second')
789 ('/zfs/util.py', 'fletcher2', 'fletcher2_ret')
790 ('/zfs/util.py', 'sha256', 'data')
791 ('/zfs/util.py', 'sha256', 'sha256_ret')
792 ('/zfs/ondisk/__init__.py', 'to_embedded', 'self')
793 ('/zfs/ondisk/__init__.py', 'to_embedded', 'raw_blkptr')
794 ('/zfs/ondisk/__init__.py', 'to_embedded', 'to_embedded_ret')
795 ('/zfs/util.py', 'unpack', 'data')
796 ('/zfs/util.py', 'unpack', 'code')
797 ('/zfs/util.py', 'unpack', 's')
798 ('/zfs/util.py', 'unpack', 'unpack_ret')
799 ('/zfs/ondisk/__init__.py', 'data', 'self')
800 ('/zfs/ondisk/__init__.py', 'data', 'data')
801 ('/zfs/ondisk/__init__.py', 'data', 'data_ret')
802 ('/zfs/zfuse.py', 'locked', 'f')
803 ('/zfs/zfuse.py', 'locked', 'inner')
804 ('/zfs/zfuse.py', 'locked', 'locked_ret')
805 ('/zfs/zfuse.py', '__init__', 'pool')
806 ('/zfs/zfuse.py', '__init__', 'self')
807 ('/zfs/zfuse.py', 'getattr', 'fh')
808 ('/zfs/zfuse.py', 'getattr', 'self')
809 ('/zfs/zfuse.py', 'getattr', 'path')
810 ('/zfs/zfuse.py', 'getattr', 'obj')
811 ('/zfs/zfuse.py', 'getattr', 'attrs')
812 ('/zfs/zfuse.py', 'getattr', 'mode')
813 ('/zfs/zfuse.py', 'getattr', 'getattr_ret')
814 ('/zfs/zfuse.py', 'getxattr', 'position')
815 ('/zfs/zfuse.py', 'getxattr', 'self')
816 ('/zfs/zfuse.py', 'getxattr', 'path')
817 ('/zfs/zfuse.py', 'getxattr', 'name')
818 ('/zfs/zfuse.py', 'getxattr', 'getxattr_ret')
819 ('/zfs/zfuse.py', 'listxattr', 'self')
820 ('/zfs/zfuse.py', 'listxattr', 'path')
821 ('/zfs/zfuse.py', 'listxattr', 'listxattr_ret')
822 ('/zfs/zfuse.py', 'open', 'self')
823 ('/zfs/zfuse.py', 'open', 'path')
824 ('/zfs/zfuse.py', 'open', 'flags')
825 ('/zfs/zfuse.py', 'open', 'open_ret')
826 ('/zfs/zfuse.py', 'readlink', 'self')
827 ('/zfs/zfuse.py', 'readlink', 'path')
828 ('/zfs/zfuse.py', 'readlink', 'obj')
829 ('/zfs/zfuse.py', 'readlink', 'readlink_ret')
830 ('/zfs/zfuse.py', 'read', 'self')
831 ('/zfs/zfuse.py', 'read', 'path')
832 ('/zfs/zfuse.py', 'read', 'size')
833 ('/zfs/zfuse.py', 'read', 'offset')
834 ('/zfs/zfuse.py', 'read', 'fh')
835 ('/zfs/zfuse.py', 'read', 'read_ret')
836 ('/zfs/zfuse.py', 'readdir', 'self')
837 ('/zfs/zfuse.py', 'readdir', 'path')
838 ('/zfs/zfuse.py', 'readdir', 'fh')
839 ('/zfs/zfuse.py', 'readdir', 'names')
840 ('/zfs/zfuse.py', 'readdir', 'name')
841 ('/zfs/zfuse.py', 'readdir', 'readdir_ret')
842 ('/zfs/zfuse.py', 'statfs', 'self')
843 ('/zfs/zfuse.py', 'statfs', 'path')
844 ('/zfs/zfuse.py', 'statfs', 'statfs_ret')
845 ('/zfs/zfuse.py', 'mount', 'pool')
846 ('/zfs/zfuse.py', 'mount', 'mountpoint')
847 ('/zfs/zfuse.py', 'mount', 'zf')
848 ('/zfs/zfuse.py', 'mount', 'fuse')
849 ('/zfs/history.py', 'unpack_int', 'self')
850 ('/zfs/history.py', 'unpack_int', 'unpack_int_ret')
851 ('/zfs/history.py', 'unpack_hyper', 'self')
852 ('/zfs/history.py', 'unpack_hyper', 'unpack_hyper_ret')
853 ('/zfs/history.py', 'unpack_string', 'self')
854 ('/zfs/history.py', 'unpack_string', 'length')
855 ('/zfs/history.py', 'unpack_string', 'unpack_string_ret')
856 ('/zfs/raidzdev.py', 'convert', 'k')
857 ('/zfs/raidzdev.py', 'convert', 'base')
858 ('/zfs/raidzdev.py', 'convert', 'disks')
859 ('/zfs/raidzdev.py', 'convert', 'parity')
860 ('/zfs/raidzdev.py', 'convert', 'off')
861 ('/zfs/raidzdev.py', 'convert', 'convert_ret')
862 ('/zfs/raidzdev.py', 'should_resize', 'offset')
863 ('/zfs/raidzdev.py', 'should_resize', 'size')
864 ('/zfs/raidzdev.py', 'should_resize', 'disks')
865 ('/zfs/raidzdev.py', 'should_resize', 'parity')
866 ('/zfs/raidzdev.py', 'should_resize', 'base')
867 ('/zfs/raidzdev.py', 'should_resize', 'should_resize_ret')
868 ('/zfs/raidzdev.py', 'locate_data', 'disks')
869 ('/zfs/raidzdev.py', 'locate_data', 'parity')
870 ('/zfs/raidzdev.py', 'locate_data', 'offset')
871 ('/zfs/raidzdev.py', 'locate_data', 'size')
872 ('/zfs/raidzdev.py', 'locate_data', 'first_col')
873 ('/zfs/raidzdev.py', 'locate_data', 'ret')
874 ('/zfs/raidzdev.py', 'locate_data', 'vdevs')
875 ('/zfs/raidzdev.py', 'locate_data', 'bit_12')
876 ('/zfs/raidzdev.py', 'locate_data', 'vdev_ids')
877 ('/zfs/raidzdev.py', 'locate_data', 'order')
878 ('/zfs/raidzdev.py', 'locate_data', 'i')
879 ('/zfs/raidzdev.py', 'locate_data', 'dva')
880 ('/zfs/raidzdev.py', 'locate_data', 'd')
881 ('/zfs/raidzdev.py', 'locate_data', 'vdev_order')
882 ('/zfs/raidzdev.py', 'locate_data', '_')
883 ('/zfs/raidzdev.py', 'locate_data', 'next_vdev')
884 ('/zfs/raidzdev.py', 'locate_data', 'locate_data_ret')
885 ('/zfs/raidzdev.py', 'xor_blocks', 'args')
886 ('/zfs/raidzdev.py', 'xor_blocks', 'x')
887 ('/zfs/raidzdev.py', 'xor_blocks', 'xor_blocks_ret')
888 ('/zfs/raidzdev.py', 'xor_blocks', 'size')
889 ('/zfs/raidzdev.py', 'xor_blocks', 'format_str')
890 ('/zfs/raidzdev.py', 'xor_blocks', 'structure')
891 ('/zfs/raidzdev.py', 'xor_blocks', 't')
892 ('/zfs/raidzdev.py', 'xor_blocks', 'out')
893 ('/zfs/raidzdev.py', '__init__', 'self')
894 ('/zfs/raidzdev.py', '__init__', 'parity')
895 ('/zfs/raidzdev.py', '__init__', 'devs')
896 ('/zfs/raidzdev.py', 'read_dva', 'self')
897 ('/zfs/raidzdev.py', 'read_dva', 'dva')
898 ('/zfs/raidzdev.py', 'read_dva', 'offset')
899 ('/zfs/raidzdev.py', 'read_dva', 'num_disks')
900 ('/zfs/raidzdev.py', 'read_dva', 'parity')
901 ('/zfs/raidzdev.py', 'read_dva', 'columns')
902 ('/zfs/raidzdev.py', 'read_dva', 'first')
903 ('/zfs/raidzdev.py', 'read_dva', 'addrs')
904 ('/zfs/raidzdev.py', 'read_dva', 'addr')
905 ('/zfs/raidzdev.py', 'read_dva', 'blocks')
906 ('/zfs/raidzdev.py', 'read_dva', 'data')
907 ('/zfs/raidzdev.py', 'read_dva', 'computed')
908 ('/zfs/raidzdev.py', 'read_dva', 'read_dva_ret')
909 ('/zfs/raidzdev.py', '_read_resolved', 'self')
910 ('/zfs/raidzdev.py', '_read_resolved', 'dva')
911 ('/zfs/raidzdev.py', '_read_resolved', '_read_resolved_ret')
912 ('/zfs/vdevs.py', 'read_dva', 'self')
913 ('/zfs/vdevs.py', 'read_dva', 'dva')
914 ('/zfs/vdevs.py', 'read_dva', 'offset')
915 ('/zfs/vdevs.py', 'read_dva', 'data')
916 ('/zfs/vdevs.py', 'read_dva', 'read_dva_ret')
917 ('/zfs/lzjb.py', 'decompress', 'bs')
918 ('/zfs/lzjb.py', 'decompress', 'size')
919 ('/zfs/lzjb.py', 'decompress', 'out')
920 ('/zfs/lzjb.py', 'decompress', 'blen')
921 ('/zfs/lzjb.py', 'decompress', 'pos')
922 ('/zfs/lzjb.py', 'decompress', 'control')
923 ('/zfs/lzjb.py', 'decompress', 'i')
924 ('/zfs/lzjb.py', 'decompress', 'b')
925 ('/zfs/lzjb.py', 'decompress', 'length')
926 ('/zfs/lzjb.py', 'decompress', 'distance')
927 ('/zfs/lzjb.py', 'decompress', 'backref')
928 ('/zfs/lzjb.py', 'decompress', 'lookup')
929 ('/zfs/lzjb.py', 'decompress', 'decompress_ret')
930 ('/zfs/filedev.py', '__init__', 'txg')
931 ('/zfs/filedev.py', '__init__', 'label')
932 ('/zfs/filedev.py', '__init__', 'self')
933 ('/zfs/filedev.py', '__init__', 'path')
934 ('/zfs/filedev.py', 'read', 'self')
935 ('/zfs/filedev.py', 'read', 'offset')
936 ('/zfs/filedev.py', 'read', 'size')
937 ('/zfs/filedev.py', 'read', 'read_ret')
938 ('/zfs/filedev.py', 'write', 'self')
939 ('/zfs/filedev.py', 'write', 'offset')
940 ('/zfs/filedev.py', 'write', 'data')
941 ('/zfs/filedev.py', 'write', 'write_ret')
942 ('/zfs/filedev.py', 'flush', 'self')
943 ('/zfs/filedev.py', 'flush', 'flush_ret')
944 ('/zfs/filedev.py', 'seek', 'self')
945 ('/zfs/filedev.py', 'seek', 'offset')
946 ('/zfs/filedev.py', 'seek', 'whence')
947 ('/zfs/filedev.py', 'seek', 'seek_ret')
948 ('/explore.py', '__init__', 'self')
949 ('/explore.py', '__init__', 'parser')
950 ('/explore.py', '__init__', 'subcommands')
951 ('/explore.py', '__init__', 'pool_parser')
952 ('/explore.py', '__init__', 'log_opts')
953 ('/explore.py', '__init__', 'level')
954 ('/explore.py', '__init__', 'try_opts')
955 ('/explore.py', '__init__', 'name')
956 ('/explore.py', '__init__', 'value')
957 ('/explore.py', '__init__', 'arg_name')
958 ('/explore.py', '__init__', 'parser_ls')
959 ('/explore.py', '__init__', 'parser_cat')
960 ('/explore.py', '__init__', 'parser_objset')
961 ('/explore.py', '__init__', 'objset_selector_group')
962 ('/explore.py', '__init__', 'objset_exclusive_display')
963 ('/explore.py', '__init__', 'parser_nvparse')
964 ('/explore.py', '__init__', 'parser_label')
965 ('/explore.py', '__init__', 'parser_dva')
966 ('/explore.py', '__init__', 'parser_fuse')
967 ('/explore.py', 'setup_module_logs', 'self')
968 ('/explore.py', 'setup_module_logs', 'args')
969 ('/explore.py', 'setup_module_logs', 'level')
970 ('/explore.py', 'setup_module_logs', 'levelname')
971 ('/explore.py', 'setup_module_logs', 'modules')
972 ('/explore.py', 'setup_module_logs', 'mod')
973 ('/explore.py', 'cli', 'kw')
974 ('/explore.py', 'cli', 'self')
975 ('/explore.py', 'cli', 'a')
976 ('/explore.py', 'cli', 'args')
977 ('/explore.py', 'cli', 'level')
978 ('/explore.py', 'load_pool', 'self')
979 ('/explore.py', 'load_pool', 'args')
980 ('/explore.py', 'load_pool', 'path')
981 ('/explore.py', 'load_pool', 'devices')
982 ('/explore.py', 'load_pool', 'try_config')
983 ('/explore.py', 'load_pool', 'pool')
984 ('/explore.py', 'load_pool', 'load_pool_ret')
985 ('/explore.py', 'list_cmd', 'self')
986 ('/explore.py', 'list_cmd', 'args')
987 ('/explore.py', 'list_cmd', 'target')
988 ('/explore.py', 'list_cmd', 'file')
989 ('/explore.py', 'cat', 'self')
990 ('/explore.py', 'cat', 'args')
991 ('/explore.py', 'show_object', 'self')
992 ('/explore.py', 'show_object', 'args')
993 ('/explore.py', 'show_object', 'os')
994 ('/explore.py', 'show_object', 'obj')
995 ('/explore.py', 'show_object', 'f')
996 ('/explore.py', 'show_object', 'parsed')
997 ('/explore.py', 'objset', 'self')
998 ('/explore.py', 'objset', 'args')
999 ('/explore.py', 'objset', 'ds')
1000 ('/explore.py', 'objset', 'os')
1001 ('/explore.py', 'objset', 'f')
1002 ('/explore.py', 'objset', 'i')
1003 ('/explore.py', 'objset', 'obj')
1004 ('/explore.py', 'nvparse', 'self')
1005 ('/explore.py', 'nvparse', 'args')
1006 ('/explore.py', 'nvparse', 'source')
1007 ('/explore.py', 'nvparse', 'data')
1008 ('/explore.py', 'nvparse', 'nv')
1009 ('/explore.py', 'label', 'self')
1010 ('/explore.py', 'label', 'args')
1011 ('/explore.py', 'label', 'vdev')
1012 ('/explore.py', 'label', 'label')
1013 ('/explore.py', 'label', 'i')
1014 ('/explore.py', 'label', 'uber')
1015 ('/explore.py', 'mount_fuse', 'self')
1016 ('/explore.py', 'mount_fuse', 'args')
1017 ('/explore.py', 'read_dva', 'self')
1018 ('/explore.py', 'read_dva', 'args')
1019 ('/explore.py', 'read_dva', 'dva')
1020 ('/explore.py', 'read_dva', 'read_dva_ret')
1021 ('/explore.py', 'cli', 'kwargs')
1022 ('/explore.py', 'cli', 'px')
1023 ('/explore.py', 'cli', 'cli_ret')
1024 ('/pyndata/field.py', '__get__', 'self')
1025 ('/pyndata/field.py', '__set__', 'self')
1026 ('/pyndata/field.py', 'pack', 'self')
1027 ('/pyndata/field.py', 'unpack', 'self')
1028 ('/pyndata/variablelength.py', 'get_length', 'self')
1029 ('/pyndata/variablelength.py', '__set__', 'self')
1030 ('/pyndata/integer.py', 'endian', 'self')
1031 ('/pyndata/integer.py', 'pack', 'self')
1032 ('/pyndata/integer.py', 'pack', 'value')
1033 ('/pyndata/integer.py', 'unpack', 'self')
1034 ('/pyndata/structfield.py', 'pack', 'self')
1035 ('/pyndata/structfield.py', 'unpack', 'self')
1036 ('/pyndata/structure.py', '__new__', 'fields')
1037 ('/pyndata/structure.py', '__new__', 'bitfields')
1038 ('/pyndata/structure.py', '__new__', 'field_defaults')
1039 ('/pyndata/structure.py', '__init__', 'self')
1040 ('/pyndata/structure.py', '__repr__', 'self')
1041 ('/pyndata/structure.py', '__repr__', 'ret')
1042 ('/pyndata/structure.py', '__repr__', '__repr___ret')
1043 ('/pyndata/structure.py', 'pack', 'self')
1044 ('/pyndata/structure.py', 'pack', 'out')
1045 ('/pyndata/structure.py', 'pack', 'pack_ret')
1046 ('/pyndata/structure.py', 'unpack', 'self')
1047 ('/pyndata/conditional.py', '__init__', 'self')
1048 ('/pyndata/conditional.py', 'pack', 'self')
1049 ('/pyndata/conditional.py', 'unpack', 'self')
1050 ('/pyndata/nullstring.py', 'pack', 'self')
1051 ('/pyndata/nullstring.py', 'unpack', 'self')
1052 ('/pyndata/nullstring.py', 'unpack', 'value')
1053 ('/pyndata/nullstring.py', 'unpack', 'i')
1054 ('/pyndata/nullstring.py', 'unpack', 'unpack_ret')
1055 ('/pyndata/array.py', 'pack', 'self')
1056 ('/pyndata/array.py', 'pack', 'pack_ret')
1057 ('/pyndata/array.py', 'unpack', 'self')
1058 ('/pyndata/array.py', 'unpack', 'out')
1059 ('/pyndata/array.py', 'unpack', 'unpack_ret')
1060 ('/pyndata/bytestring.py', 'pack', 'self')
1061 ('/pyndata/bytestring.py', 'unpack', 'self')
1062 ('/pyndata/padding.py', 'pack', 'self')
1063 ('/pyndata/padding.py', 'unpack', 'self')
1064 ('/pyndata/bitfield.py', '__get__', 'self')
1065 ('/pyndata/bitfield.py', '__set__', 'self')
1066 ('/pyndata/bitfield.py', '__set__', 'value')
1067 ('/zfs/vdevs.py', 'read', 'read_ret')
1068 ('/zfs/vdevs.py', 'read', 'self')
1069 ('/zfs/vdevs.py', 'read', 'offset')
1070 ('/zfs/vdevs.py', 'read', 'size')
1071 ('/zfs/datasets.py', 'snapshot_names', 'snapshot_names_ret')
1072 ('/zfs/datasets.py', '__contains__', '__contains___ret')
1073 ('/zfs/datasets.py', '__contains__', 'self')
1074 ('/zfs/datasets.py', '__getitem__', 'self')
1075 ('/zfs/datasets.py', '__repr__', 'self')
1076 ('/zfs/datasets.py', '__repr__', '__repr___ret')
1077 ('/zfs/datasets.py', '__contains__', 'name')
1078 ('/zfs/datasets.py', '__getitem__', '__getitem___ret')
1079 ('/zfs/datasets.py', '__getitem__', 'name')
1080 ('/zfs/datasets.py', '__getitem__', 'joined_path')
1081 ('/zfs/objectset.py', 'from_struct', 'from_struct_ret')
1082 ('/zfs/objectset.py', 'from_struct', 'strct')
1083 ('/zfs/objectset.py', 'from_struct', 'dataset')
1084 ('/zfs/objectset.py', 'from_struct', 'blocks')
1085 ('/zfs/objectset.py', 'from_block', 'from_block_ret')
1086 ('/zfs/objectset.py', 'from_block', 'block')
1087 ('/zfs/objectset.py', 'from_block', 'dataset')
1088 ('/zfs/objectset.py', '__getitem__', '__getitem___ret')
1089 ('/zfs/objectset.py', '__getitem__', 'self')
1090 ('/zfs/objectset.py', '__getitem__', 'index')
1091 ('/zfs/objectset.py', '__iter__', '__iter___ret')
1092 ('/zfs/objectset.py', '__iter__', 'self')
1093 ('/zfs/pool.py', '__init__', 'self')
1094 ('/zfs/pool.py', '__init__', 'vdevs')
1095 ('/zfs/pool.py', 'first_vdev', 'first_vdev_ret')
1096 ('/zfs/pool.py', 'first_vdev', 'self')
1097 ('/zfs/pool.py', 'context', 'context_ret')
1098 ('/zfs/pool.py', 'context', 'self')
1099 ('/zfs/pool.py', 'read_block', 'read_block_ret')
1100 ('/zfs/pool.py', 'read_block', 'self')
1101 ('/zfs/pool.py', 'read_indirect', 'read_indirect_ret')
1102 ('/zfs/pool.py', 'read_indirect', 'self')
1103 ('/zfs/pool.py', 'read_dnode', 'read_dnode_ret')
1104 ('/zfs/pool.py', 'read_dnode', 'self')
1105 ('/zfs/pool.py', 'read_file', 'read_file_ret')
1106 ('/zfs/pool.py', 'read_file', 'self')
1107 ('/zfs/pool.py', 'read_file', 'path')
1108 ('/zfs/pool.py', 'objset_for_vdev', 'objset_for_vdev_ret')
1109 ('/zfs/pool.py', 'objset_for_vdev', 'self')
1110 ('/zfs/pool.py', 'objset_for_vdev', 'vdev')
1111 ('/zfs/pool.py', 'root_dataset', 'root_dataset_ret')
1112 ('/zfs/pool.py', 'root_dataset', 'self')
1113 ('/zfs/pool.py', 'metaslab_array', 'self')
1114 ('/zfs/pool.py', 'dataset_for', 'dataset_for_ret')
1115 ('/zfs/pool.py', 'dataset_for', 'self')
1116 ('/zfs/pool.py', 'dataset_for', 'dataset_expr')
1117 ('/zfs/pool.py', 'open', 'open_ret')
1118 ('/zfs/pool.py', 'open', 'self')
1119 ('/zfs/pool.py', 'open', 'path')
1120 ('/zfs/raidzdev.py', 'read', 'read_ret')
1121 ('/zfs/raidzdev.py', 'read', 'self')
1122 ('/zfs/raidzdev.py', 'read', 'offset')
1123 ('/zfs/raidzdev.py', 'read', 'size')
1124 ('/zfs/posix/__init__.py', '__init__', 'self')
1125 ('/zfs/posix/__init__.py', '__init__', 'dnode')
1126 ('/zfs/posix/__init__.py', '__init__', 'dataset')
1127 ('/zfs/posix/directory.py', '__contains__', '__contains___ret')
1128 ('/zfs/posix/directory.py', '__contains__', 'self')
1129 ('/zfs/posix/directory.py', '__contains__', 'name')
1130 ('/zfs/posix/directory.py', '__getitem__', '__getitem___ret')
1131 ('/zfs/posix/directory.py', '__getitem__', 'self')
1132 ('/zfs/posix/directory.py', '__getitem__', 'name')
1133 ('/zfs/posix/directory.py', '__getitem__', 'joined_path')
1134 ('/zfs/posix/directory.py', 'keys', 'keys_ret')
1135 ('/zfs/posix/directory.py', 'keys', 'self')
1136 ('/zfs/posix/directory.py', 'items', 'items_ret')
1137 ('/zfs/posix/directory.py', 'items', 'self')
1138 ('/zfs/posix/directory.py', '__repr__', '__repr___ret')
1139 ('/zfs/posix/directory.py', '__repr__', 'self')
1140 ('/zfs/posix/posix_file.py', 'read', 'read_ret')
1141 ('/zfs/posix/posix_file.py', 'read', 'self')
1142 ('/zfs/posix/attributes/systemattributes.py', 'dacl_entries', 'acls')
1143 ('/zfs/posix/attributes/systemattributes.py', 'dacl_entries', 'dacl_entries_ret')
1144 ('/zfs/posix/attributes/systemattributes.py', '__init__', 'self')
1145 ('/zfs/posix/attributes/systemattributes.py', '__call__', 'self')
1146 ('/zfs/posix/attributes/systemattributes.py', '__call__', 'attributes')
1147 ('/zfs/posix/attributes/systemattributes.py', '__call__', '__call___ret')
1148 ('/zfs/ondisk/__init__.py', '__repr__', 'self')
1149 ('/zfs/ondisk/__init__.py', '__repr__', '__repr___ret')
1150 ('/zfs/ondisk/__init__.py', 'valid', 'self')
1151 ('/zfs/ondisk/__init__.py', 'valid', 'valid_ret')
1152 ('/zfs/ondisk/__init__.py', 'bonus_length', 'self')
1153 ('/zfs/ondisk/__init__.py', 'bonus_length', 'bonus_length_ret')
1154 ('/zfs/ondisk/__init__.py', 'Objset_for', 'Objset_for_ret')
1155 ('/zfs/ondisk/fatzap.py', 'parse_chunk', 'parse_chunk_ret')
1156 ('/zfs/ondisk/fatzap.py', 'parse_chunk', 'chunk')
1157 ('/zfs/ondisk/fatzap.py', 'parse_chunk', 'ch')
1158 ('/zfs/ondisk/fatzap.py', 'parse_fatzap', 'parse_fatzap_ret')
1159 ('/zfs/ondisk/fatzap.py', 'parse_fatzap', 'data')
1160 ('/zfs/ondisk/fatzap.py', 'parse_fatzap', 'chunks')
1161 ('/zfs/ondisk/fatzap.py', 'read_linked', 'read_linked_ret')
1162 ('/zfs/ondisk/fatzap.py', 'read_linked', 'chunks')
1163 ('/zfs/ondisk/fatzap.py', 'read_linked', 'first')
1164 ('/zfs/ondisk/fatzap.py', 'read_linked', 'index')
1165 ('/zfs/ondisk/fatzap.py', 'read_linked', 'out')
1166 ('/zfs/ondisk/fatzap.py', 'reconstruct_data', 'reconstruct_data_ret')
1167 ('/zfs/ondisk/fatzap.py', 'reconstruct_data', 'chunks')
